State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Arkansas,Pope,42,6.9,30,5787,13,17,70,76.6,47049,4795,16,,,,Arkansas,Polk,19337,,TRUE
Arkansas,Prairie,37,7.8,30,188,12,17,32,74.3,59367,502,17,,,,Arkansas,Pope,64065,,TRUE
Arkansas,Pulaski,36,6.5,27,49304,11,16,85,75.6,53597,29137,17,,,,Arkansas,Prairie,8069,,TRUE
Arkansas,Randolph,36,6.3,31,1685,14,19,39,74,43484,1308,17,,,,Arkansas,Pulaski,399145,,TRUE
Arkansas,St. Francis,47,4.9,38,5453,15,18,32,74.3,36781,1381,15,,,,Arkansas,Randolph,18837,,TRUE
Arkansas,Saline,39,7.7,27,8233,11,16,57,77.3,68107,6574,18,,,,Arkansas,St. Francis,22451,,TRUE
Arkansas,Scott,37,5.4,33,2338,14,18,46,73.2,39974,764,17,,,,Arkansas,Saline,127357,,TRUE
Arkansas,Searcy,39,5.2,34,1200,15,19,20,75,35422,492,17,,,,Arkansas,Scott,9805,,TRUE
Arkansas,Sebastian,36,6.9,29,6906,12,17,61,75.6,49170,11889,16,,,,Arkansas,Searcy,7918,,TRUE
Arkansas,Sevier,41,6.4,34,2285,14,17,37,75.7,46651,2031,16,,,,Arkansas,Sebastian,129059,,TRUE
Arkansas,Sharp,40,5.3,31,3107,14,19,49,75.5,39183,1168,17,,,,Arkansas,Sevier,15686,,TRUE
Arkansas,Stone,37,5.8,33,1344,15,19,50,76.6,37782,887,16,,,,Arkansas,Sharp,17810,,TRUE
Arkansas,Union,43,6.4,31,5081,13,17,60,71.7,47315,2492,16,,,,Arkansas,Stone,12575,,TRUE
Arkansas,Van Buren,38,6.5,31,1164,14,18,42,77,39629,1019,17,,,,Arkansas,Union,37752,,TRUE
Arkansas,Washington,36,7.5,27,10768,12,16,82,78,64218,23914,17,,,,Arkansas,Van Buren,16102,,TRUE
Arkansas,White,38,6.8,30,7029,13,18,57,75.2,51660,6314,17,,,,Arkansas,Washington,256054,,TRUE
Arkansas,Woodruff,40,7.1,35,234,14,18,46,72.5,37331,367,15,,,,Arkansas,White,77755,,TRUE
Arkansas,Yell,38,7.2,34,1726,14,18,46,75.2,48526,2029,16,,,,Arkansas,Woodruff,6049,,TRUE
California,,30,8.8,21,1204935,10,13,95,81,84831,2421724,18,,,,Arkansas,Yell,20129,,FALSE
California,Alameda,24,8.8,18,16876,8,13,99,82.8,108971,63054,18,,,,California,California,39029342,,TRUE
California,Alpine,30,6.7,18,197,10,15,78,,87570,76,23,,,,California,Alameda,1628997,,TRUE
California,Amador,30,8.6,19,36,10,15,62,79.7,68159,1408,24,,,,California,Alpine,1190,,TRUE
California,Butte,31,7.3,21,14192,11,16,85,77.6,62982,11101,21,,,,California,Amador,41412,,TRUE
California,Calaveras,30,7.9,19,2730,10,16,76,79.5,68298,2087,23,,,,California,Butte,207303,,TRUE
California,Colusa,34,6.9,26,2647,12,16,77,79.6,60725,1939,20,,,,California,Calaveras,46563,,TRUE
California,Contra Costa,28,8.8,19,30080,8,13,98,82.2,110595,45924,20,,,,California,Colusa,21914,,TRUE
California,Del Norte,33,6.4,24,4133,12,17,79,76.3,48108,1221,21,,,,California,Contra Costa,1156966,,TRUE
California,El Dorado,28,8.4,17,7710,9,15,88,81.9,87689,6947,23,,,,California,Del Norte,27082,,TRUE
California,Fresno,35,7.3,28,49773,12,15,84,78,63140,67098,19,,,,California,El Dorado,192646,,TRUE
California,Glenn,34,7.4,26,2459,12,16,79,77.3,56741,2395,20,,,,California,Fresno,1015190,,TRUE
California,Humboldt,31,7.3,21,6112,11,17,88,77.2,53924,7460,22,,,,California,Glenn,28339,,TRUE
California,Imperial,36,6.2,32,13349,14,16,80,79,50970,11332,19,,,,California,Humboldt,135010,,TRUE
California,Inyo,30,7.8,19,1441,10,16,86,78.7,62381,1138,22,,,,California,Imperial,178713,,TRUE
California,Kern,35,7.1,28,65742,13,16,86,76.5,57926,63177,18,,,,California,Inyo,18718,,TRUE
California,Kings,35,7.6,28,10438,12,16,68,79.2,60810,9205,20,,,,California,Kern,916108,,TRUE
California,Lake,32,7.6,23,1222,12,17,68,74.8,55801,3244,22,,,,California,Kings,152981,,TRUE
California,Lassen,32,7.6,23,3246,12,16,45,78.3,56923,708,22,,,,California,Lake,68191,,TRUE
California,Los Angeles,29,8.1,22,142660,10,15,98,81.3,77356,790900,18,,,,California,Lassen,29904,,TRUE
California,Madera,36,7.7,27,8175,13,17,74,79.1,60241,11142,19,,,,California,Los Angeles,9721138,,TRUE
California,Marin,23,9.2,14,2943,7,13,98,85.2,118472,6978,22,,,,California,Madera,160256,,TRUE
California,Mariposa,31,7.5,19,477,11,16,45,80.6,60377,845,22,,,,California,Marin,256018,,TRUE
